Country or Area,Year,Sex,Age,Marital Status,Record Type,Reliability,Value
Mozambique,2017,Male,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",91127
Mozambique,2017,Male,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",5867
Mozambique,2017,Male,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",28423
Mozambique,2017,Male,70 - 74,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",47243
Mozambique,2017,Male,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",6937
Mozambique,2017,Male,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2657
Mozambique,2017,Male,75 - 79,Total,Census - de jure - complete tabulation,"Final figure, complete",71534
Mozambique,2017,Male,75 - 79,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",5259
Mozambique,2017,Male,75 - 79,Married,Census - de jure - complete tabulation,"Final figure, complete",21470
Mozambique,2017,Male,75 - 79,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",36353
Mozambique,2017,Male,75 - 79,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",6339
Mozambique,2017,Male,75 - 79,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2113
Mozambique,2017,Male,80 +,Total,Census - de jure - complete tabulation,"Final figure, complete",89237
Mozambique,2017,Male,80 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",7133
Mozambique,2017,Male,80 +,Married,Census - de jure - complete tabulation,"Final figure, complete",24180
Mozambique,2017,Male,80 +,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",44766
Mozambique,2017,Male,80 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",10457
Mozambique,2017,Male,80 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2701
Mozambique,2017,Female,14-Dec,Total,Census - de jure - complete tabulation,"Final figure, complete",985804
Mozambique,2017,Female,14-Dec,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",945951
Mozambique,2017,Female,14-Dec,Married,Census - de jure - complete tabulation,"Final figure, complete",5902
Mozambique,2017,Female,14-Dec,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",29922
Mozambique,2017,Female,14-Dec,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1901
Mozambique,2017,Female,14-Dec,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2128
Mozambique,2017,Female,12 +,Total,Census - de jure - complete tabulation,"Final figure, complete",8671618
Mozambique,2017,Female,12 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2843826
Mozambique,2017,Female,12 +,Married,Census - de jure - complete tabulation,"Final figure, complete",1177972
Mozambique,2017,Female,12 +,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",3656451
Mozambique,2017,Female,12 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",578840
Mozambique,2017,Female,12 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",414529
Mozambique,2017,Female,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",1513486
Mozambique,2017,Female,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",893253
Mozambique,2017,Female,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",102520
Mozambique,2017,Female,15 - 19,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",482849
Mozambique,2017,Female,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3726
Mozambique,2017,Female,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",31138
Mozambique,2017,Female,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",1340166
Mozambique,2017,Female,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",341216
Mozambique,2017,Female,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",178852
Mozambique,2017,Female,20 - 24,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",749013
Mozambique,2017,Female,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",9034
Mozambique,2017,Female,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",62051
Mozambique,2017,Female,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",1002408
Mozambique,2017,Female,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",167254
Mozambique,2017,Female,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",162384
Mozambique,2017,Female,25 - 29,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",606114
Mozambique,2017,Female,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",14074
Mozambique,2017,Female,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",52582
Mozambique,2017,Female,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",812145
Mozambique,2017,Female,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",110509
Mozambique,2017,Female,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",148789
Mozambique,2017,Female,30 - 34,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",480021
Mozambique,2017,Female,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",23794
Mozambique,2017,Female,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",49032
Mozambique,2017,Female,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",723506
Mozambique,2017,Female,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",87027
Mozambique,2017,Female,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",149057
Mozambique,2017,Female,35 - 39,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",408405
Mozambique,2017,Female,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",33053
Mozambique,2017,Female,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",45964
Mozambique,2017,Female,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",556747
Mozambique,2017,Female,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",67412
Mozambique,2017,Female,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",120056
Mozambique,2017,Female,40 - 44,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",286268
Mozambique,2017,Female,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",43884
Mozambique,2017,Female,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",39127
Mozambique,2017,Female,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",442595
Mozambique,2017,Female,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",51454
Mozambique,2017,Female,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",98217
Mozambique,2017,Female,45 - 49,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",211703
Mozambique,2017,Female,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",48521
Mozambique,2017,Female,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",32700
Mozambique,2017,Female,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",342759
Mozambique,2017,Female,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",44207
Mozambique,2017,Female,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",69215
Mozambique,2017,Female,50 - 54,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",139448
Mozambique,2017,Female,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",62222
Mozambique,2017,Female,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",27667
Mozambique,2017,Female,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",257013
Mozambique,2017,Female,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",32288
Mozambique,2017,Female,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",49736
Mozambique,2017,Female,55 - 59,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",94372
Mozambique,2017,Female,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",59606
Mozambique,2017,Female,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",21011
Mozambique,2017,Female,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",211651
Mozambique,2017,Female,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",29167
Mozambique,2017,Female,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",35206
Mozambique,2017,Female,60 - 64,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",62503
Mozambique,2017,Female,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",67273
Mozambique,2017,Female,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",17502
Mozambique,2017,Female,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",165917
Mozambique,2017,Female,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",23099
Mozambique,2017,Female,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",24657
Mozambique,2017,Female,65 - 69,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",42539
Mozambique,2017,Female,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",62478
Mozambique,2017,Female,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",13144
Mozambique,2017,Female,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",109545
Mozambique,2017,Female,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",17445
Mozambique,2017,Female,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",13099
Mozambique,2017,Female,70 - 74,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",22175
Mozambique,2017,Female,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",49072
Mozambique,2017,Female,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",7754
Mozambique,2017,Female,75 - 79,Total,Census - de jure - complete tabulation,"Final figure, complete",88007
Mozambique,2017,Female,75 - 79,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",13983
Mozambique,2017,Female,75 - 79,Married,Census - de jure - complete tabulation,"Final figure, complete",9328
Mozambique,2017,Female,75 - 79,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",17290
Mozambique,2017,Female,75 - 79,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",41660
Mozambique,2017,Female,75 - 79,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",5746
Mozambique,2017,Female,80 +,Total,Census - de jure - complete tabulation,"Final figure, complete",119869
Mozambique,2017,Female,80 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",19561
Mozambique,2017,Female,80 +,Married,Census - de jure - complete tabulation,"Final figure, complete",10954
Mozambique,2017,Female,80 +,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",23829
Mozambique,2017,Female,80 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",58542
Mozambique,2017,Female,80 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",6983
Mozambique,2017,Male,14-Dec,Total,Census - de jure - complete tabulation,"Final figure, complete",317833
Mozambique,2017,Male,14-Dec,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",315367
Mozambique,2017,Male,14-Dec,Married,Census - de jure - complete tabulation,"Final figure, complete",462
Mozambique,2017,Male,14-Dec,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",1656
Mozambique,2017,Male,14-Dec,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",205
Mozambique,2017,Male,14-Dec,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",143
Mozambique,2017,Male,12 +,Total,Census - de jure - complete tabulation,"Final figure, complete",2768082
Mozambique,2017,Male,12 +,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",1339833
Mozambique,2017,Male,12 +,Married,Census - de jure - complete tabulation,"Final figure, complete",332169
Mozambique,2017,Male,12 +,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",1034049
Mozambique,2017,Male,12 +,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",25694
Mozambique,2017,Male,12 +,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",36337
Mozambique,2017,Male,15 - 19,Total,Census - de jure - complete tabulation,"Final figure, complete",494157
Mozambique,2017,Male,15 - 19,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",472033
Mozambique,2017,Male,15 - 19,Married,Census - de jure - complete tabulation,"Final figure, complete",3591
Mozambique,2017,Male,15 - 19,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",17334
Mozambique,2017,Male,15 - 19,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",287
Mozambique,2017,Male,15 - 19,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",912
Mozambique,2017,Male,20 - 24,Total,Census - de jure - complete tabulation,"Final figure, complete",421890
Mozambique,2017,Male,20 - 24,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",282525
Mozambique,2017,Male,20 - 24,Married,Census - de jure - complete tabulation,"Final figure, complete",20738
Mozambique,2017,Male,20 - 24,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",114572
Mozambique,2017,Male,20 - 24,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",358
Mozambique,2017,Male,20 - 24,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3697
Mozambique,2017,Male,25 - 29,Total,Census - de jure - complete tabulation,"Final figure, complete",354043
Mozambique,2017,Male,25 - 29,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",125649
Mozambique,2017,Male,25 - 29,Married,Census - de jure - complete tabulation,"Final figure, complete",36103
Mozambique,2017,Male,25 - 29,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",186613
Mozambique,2017,Male,25 - 29,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",627
Mozambique,2017,Male,25 - 29,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",5051
Mozambique,2017,Male,30 - 34,Total,Census - de jure - complete tabulation,"Final figure, complete",294357
Mozambique,2017,Male,30 - 34,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",57305
Mozambique,2017,Male,30 - 34,Married,Census - de jure - complete tabulation,"Final figure, complete",43536
Mozambique,2017,Male,30 - 34,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",186844
Mozambique,2017,Male,30 - 34,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1091
Mozambique,2017,Male,30 - 34,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",5581
Mozambique,2017,Male,35 - 39,Total,Census - de jure - complete tabulation,"Final figure, complete",232952
Mozambique,2017,Male,35 - 39,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",31616
Mozambique,2017,Male,35 - 39,Married,Census - de jure - complete tabulation,"Final figure, complete",43128
Mozambique,2017,Male,35 - 39,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",151763
Mozambique,2017,Male,35 - 39,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1532
Mozambique,2017,Male,35 - 39,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",4913
Mozambique,2017,Male,40 - 44,Total,Census - de jure - complete tabulation,"Final figure, complete",173494
Mozambique,2017,Male,40 - 44,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",17925
Mozambique,2017,Male,40 - 44,Married,Census - de jure - complete tabulation,"Final figure, complete",39061
Mozambique,2017,Male,40 - 44,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",110721
Mozambique,2017,Male,40 - 44,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1932
Mozambique,2017,Male,40 - 44,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",3855
Mozambique,2017,Male,45 - 49,Total,Census - de jure - complete tabulation,"Final figure, complete",125367
Mozambique,2017,Male,45 - 49,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",10721
Mozambique,2017,Male,45 - 49,Married,Census - de jure - complete tabulation,"Final figure, complete",32564
Mozambique,2017,Male,45 - 49,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",77261
Mozambique,2017,Male,45 - 49,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1937
Mozambique,2017,Male,45 - 49,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2884
Mozambique,2017,Male,50 - 54,Total,Census - de jure - complete tabulation,"Final figure, complete",106800
Mozambique,2017,Male,50 - 54,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",8035
Mozambique,2017,Male,50 - 54,Married,Census - de jure - complete tabulation,"Final figure, complete",30784
Mozambique,2017,Male,50 - 54,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",62715
Mozambique,2017,Male,50 - 54,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2581
Mozambique,2017,Male,50 - 54,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2685
Mozambique,2017,Male,55 - 59,Total,Census - de jure - complete tabulation,"Final figure, complete",80881
Mozambique,2017,Male,55 - 59,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",5491
Mozambique,2017,Male,55 - 59,Married,Census - de jure - complete tabulation,"Final figure, complete",25538
Mozambique,2017,Male,55 - 59,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",44934
Mozambique,2017,Male,55 - 59,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2764
Mozambique,2017,Male,55 - 59,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2154
Mozambique,2017,Male,60 - 64,Total,Census - de jure - complete tabulation,"Final figure, complete",62262
Mozambique,2017,Male,60 - 64,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",4083
Mozambique,2017,Male,60 - 64,Married,Census - de jure - complete tabulation,"Final figure, complete",21195
Mozambique,2017,Male,60 - 64,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",32381
Mozambique,2017,Male,60 - 64,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2963
Mozambique,2017,Male,60 - 64,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1640
Mozambique,2017,Male,65 - 69,Total,Census - de jure - complete tabulation,"Final figure, complete",39608
Mozambique,2017,Male,65 - 69,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2587
Mozambique,2017,Male,65 - 69,Married,Census - de jure - complete tabulation,"Final figure, complete",14146
Mozambique,2017,Male,65 - 69,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",19350
Mozambique,2017,Male,65 - 69,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2462
Mozambique,2017,Male,65 - 69,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",1063
Mozambique,2017,Male,70 - 74,Total,Census - de jure - complete tabulation,"Final figure, complete",24583
Mozambique,2017,Male,70 - 74,Single (never married),Census - de jure - complete tabulation,"Final figure, complete",2114
Mozambique,2017,Male,70 - 74,Married,Census - de jure - complete tabulation,"Final figure, complete",8745
Mozambique,2017,Male,70 - 74,In consensual union,Census - de jure - complete tabulation,"Final figure, complete",10741
Mozambique,2017,Male,70 - 74,Widowed and not remarried,Census - de jure - complete tabulation,"Final figure, complete",2280
Mozambique,2017,Male,70 - 74,Divorced and not remarried,Census - de jure - complete tabulation,"Final figure, complete",703
Mozambique,2017,Male,75 - 79,Total,Census - de jure - complete tabulation,"Final figure, complete",17270
